0.00025,"tensor(4004.2542, device='cuda:0')"
0.00025,"tensor(4004.2542, device='cuda:2')"
0.00025,"tensor(4004.2542, device='cuda:1')"
0.00025,"tensor(4004.2542, device='cuda:3')"
0.0005,"tensor(2112.4807, device='cuda:0')"
0.0005,"tensor(2112.4807, device='cuda:3')"
0.0005,"tensor(2112.4807, device='cuda:2')"
0.0005,"tensor(2112.4807, device='cuda:1')"
0.00075,"tensor(1492.6262, device='cuda:1')"
0.00075,"tensor(1492.6262, device='cuda:2')"
0.00075,"tensor(1492.6262, device='cuda:0')"
0.00075,"tensor(1492.6262, device='cuda:3')"
0.001,"tensor(1242.2205, device='cuda:0')"
0.001,"tensor(1242.2205, device='cuda:3')"
0.001,"tensor(1242.2205, device='cuda:1')"
0.001,"tensor(1242.2205, device='cuda:2')"
0.00125,"tensor(925.4039, device='cuda:0')"
0.00125,"tensor(925.4039, device='cuda:1')"
0.00125,"tensor(925.4039, device='cuda:3')"
0.00125,"tensor(925.4039, device='cuda:2')"
0.0015,"tensor(787.0314, device='cuda:1')"
0.0015,"tensor(787.0314, device='cuda:2')"
0.0015,"tensor(787.0314, device='cuda:3')"
0.0015,"tensor(787.0314, device='cuda:0')"
0.00175,"tensor(706.8994, device='cuda:2')"
0.00175,"tensor(706.8994, device='cuda:1')"
0.00175,"tensor(706.8994, device='cuda:0')"
0.00175,"tensor(706.8994, device='cuda:3')"
0.002,"tensor(560.7018, device='cuda:2')"
0.002,"tensor(560.7018, device='cuda:1')"
0.002,"tensor(560.7018, device='cuda:0')"
0.002,"tensor(560.7018, device='cuda:3')"
0.00225,"tensor(475.6619, device='cuda:3')"
0.00225,"tensor(475.6619, device='cuda:1')"
0.00225,"tensor(475.6619, device='cuda:0')"
0.00225,"tensor(475.6619, device='cuda:2')"
0.00225,448.8338623046875
0.00225,448.8338623046875
0.00225,448.8338623046875
0.00225,448.8338623046875
0.0025,1223.2117919921875
0.0025,1223.2117919921875
0.0025,1223.2117919921875
0.0025,1223.2117919921875
